price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issued,duration,stationID,regionID,solarSystemID,jumps,
262000006.04,1.0,29668,-1,1410403195,2,1,True,2009-12-25 23:32:53.000,90,60011866,10000032,30002659,4,
262000006.03,1.0,29668,-1,1408508555,1,1,True,2009-12-25 23:32:47.000,90,60011866,10000032,30002659,4,
262000006.02,1.0,29668,-1,1409441233,1,1,True,2009-12-25 23:32:40.000,90,60011866,10000032,30002659,4,
262000006.01,1.0,29668,-1,1408373319,1,1,True,2009-12-25 23:32:23.000,90,60011866,10000032,30002659,4,
261000005.0,3.0,29668,-1,1410659474,3,1,True,2009-12-25 22:57:58.000,90,60011866,10000032,30002659,4,
261000000.0,3.0,29668,0,1411069020,3,1,True,2009-12-25 22:15:08.000,14,60011866,10000032,30002659,4,
260701001.0,1.0,29668,32767,1408331718,6,1,True,2009-12-25 22:11:32.000,90,60011866,10000032,30002659,4,
260701001.0,3.0,29668,32767,1411340162,3,1,True,2009-12-26 02:53:57.000,90,60011866,10000032,30002659,4,
260701000.0,1.0,29668,40,1410977500,2,1,True,2009-12-25 20:51:50.000,90,60011983,10000032,30002656,4,
258200002.01,1.0,29668,-1,1410469072,1,1,True,2009-12-25 10:20:07.000,90,60011866,10000032,30002659,4,
258200002.01,1.0,29668,-1,1410457096,1,1,True,2009-12-25 10:20:44.000,90,60011866,10000032,30002659,4,
258100003.17,4.0,29668,-1,1406383377,5,1,True,2009-12-25 05:20:23.000,90,60011866,10000032,30002659,4,
258044444.44,6.0,29668,-1,1410191727,6,1,True,2009-12-25 03:01:14.000,3,60011866,10000032,30002659,4,
257301000.0,1.0,29668,5,1409228222,1,1,True,2009-12-25 06:33:44.000,90,60011866,10000032,30002659,4,
257110000.0,2.0,29668,20,1406864988,4,1,True,2009-12-24 21:22:13.000,90,60011872,10000032,30002657,5,
256648008.0,2.0,29668,32767,1408647133,2,1,True,2009-12-24 23:26:11.000,90,60014740,10000032,30002634,2,
256500000.0,1.0,29668,32767,1408996161,1,1,True,2009-12-24 03:25:34.000,90,60011866,10000032,30002659,4,
255000008.0,3.0,29668,32767,1406598610,3,1,True,2009-12-23 15:03:46.000,90,60011872,10000032,30002657,5,
253402200.0,1.0,29668,32767,1407728461,1,1,True,2009-12-23 05:05:46.000,90,60011866,10000032,30002659,4,
220000000.01,4.0,29668,32767,1408157046,4,1,True,2009-12-23 15:04:35.000,90,60011872,10000032,30002657,5,
220000000.0,1.0,29668,10,1406373877,1,1,True,2009-12-22 05:40:08.000,90,60011866,10000032,30002659,4,
219999999.0,10.0,29668,32767,1405554999,10,1,True,2009-12-21 17:58:58.000,90,60011866,10000032,30002659,4,
205500000.0,5.0,29668,32767,1401758747,5,1,True,2009-12-19 04:26:34.000,90,60014740,10000032,30002634,2,
70000000.0,4.0,29668,20,1411054806,4,1,True,2009-12-25 22:02:08.000,30,60011566,10000032,30002715,5,
27499989.0,10.0,29668,32767,1397241367,10,1,True,2009-12-15 13:53:55.000,90,60001867,10000032,30002659,4,
25000000.0,4.0,29668,32767,1390053360,4,1,True,2009-12-10 06:15:48.000,90,60011866,10000032,30002659,4,
3000000.0,1.0,29668,40,1402016000,1,1,True,2009-12-19 09:46:20.000,14,60002476,10000032,30002731,6,
500000.0,1.0,29668,-1,1406803121,1,1,True,2009-12-22 15:23:27.000,3,60015016,10000032,30042715,7,
350000.0,2.0,29668,-1,1372103669,2,1,True,2009-11-25 10:39:07.000,90,60015016,10000032,30042715,7,
309000.0,3.0,29668,-1,1339225856,3,1,True,2009-10-28 06:48:29.000,90,60011983,10000032,30002656,4,
300000.0,5.0,29668,40,1408331458,5,1,True,2009-12-23 17:45:29.000,90,60011875,10000032,30002655,3,
280000.0,5.0,29668,40,1381658978,5,1,True,2009-12-04 00:49:52.000,90,60011566,10000032,30002715,5,
269904.0,2.0,29668,32767,1408692718,2,1,True,2009-12-23 22:35:58.000,7,60011848,10000032,30002731,6,
10000.0,1.0,29668,32767,1406542907,1,1,True,2009-12-22 09:25:09.000,90,60015016,10000032,30042715,7,
277.0,1.0,29668,40,1336557093,1,1,True,2009-10-26 01:01:27.000,90,60010924,10000032,30002734,6,
100.0,10.0,29668,40,1332177020,10,1,True,2009-10-22 21:31:48.000,90,60011872,10000032,30002657,5,
