price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issued,duration,stationID,regionID,solarSystemID,jumps,
7.01,29999811.0,1230,0,1920383953,30000000,1,True,2011-03-17 16:48:22.000,90,60010207,10000064,30005017,6,
7.0,16417518.0,1230,0,1941750043,17000000,1,True,2011-03-02 16:26:40.000,90,60009811,10000064,30004973,4,
7.0,46629000.0,1230,0,1869020197,60000000,1,True,2011-03-06 14:58:44.000,90,60010213,10000064,30005018,5,
7.0,2911860.0,1230,3,1958350365,5000000,1,True,2011-03-16 01:38:39.000,90,60015031,10000064,30034971,7,
7.0,5000000.0,1230,2,1958357995,5000000,1,True,2011-03-16 01:48:33.000,90,60012010,10000064,30004970,4,
6.41,12141103.0,1230,0,1726974119,40000000,1,True,2011-02-23 16:27:20.000,90,60010783,10000064,30004969,5,
6.34,1086637.0,1230,0,1901516770,2000000,1,True,2011-02-18 23:05:12.000,90,60005509,10000064,30005017,6,
6.3,11909070.0,1230,32767,1915095427,20000000,1,True,2011-02-15 18:22:32.000,90,60011740,10000064,30004969,5,
6.21,8833.0,1230,32767,1963583200,8833,1,True,2011-03-20 16:55:23.000,90,60011734,10000064,30004972,5,
6.07,15738862.0,1230,3,1873154119,55000000,1,True,2011-01-11 00:06:18.000,90,60011749,10000064,30004967,5,
6.0199,8630340.0,1230,3,1851886798,50000000,1,True,2010-12-29 20:46:44.000,90,60011749,10000064,30004967,5,
5.9,4857723.0,1230,-1,1787907320,5000000,1,True,2011-02-14 01:40:03.000,90,60011935,10000064,30004993,1,
5.8,100000.0,1230,-1,1959239821,100000,1,True,2011-03-16 21:47:25.000,30,60003280,10000064,30005002,6,
4.54,28055.0,1230,0,1902754634,500000,1,True,2011-01-31 21:06:11.000,90,60012607,10000064,30005001,6,
4.5,9789419.0,1230,-1,1860711747,10000000,1,True,2010-12-30 21:41:00.000,90,60005230,10000064,30005021,5,
4.01,901429.0,1230,-1,1901466028,1000000,1,True,2011-01-30 22:07:23.000,90,60001408,10000064,30004973,4,
4.0,457359.0,1230,1,1854107431,1000000,1,True,2010-12-25 19:04:53.000,90,60001408,10000064,30004973,4,
4.0,980717.0,1230,1,1854890554,1000000,1,True,2010-12-26 12:03:15.000,90,60006796,10000064,30004983,5,
3.66,3102748.0,1230,5,1821656320,5000000,1,True,2011-02-09 23:39:00.000,90,60009655,10000064,30004969,5,
3.49,3361007.0,1230,32767,1721568720,10000000,1,True,2011-01-11 18:58:12.000,90,60011740,10000064,30004969,5,
3.0,333333.0,1230,32767,1962270396,333333,1,True,2011-03-19 16:59:00.000,90,60001402,10000064,30004976,5,
1.0,3000000.0,1230,32767,1963403822,3000000,1000000,True,2011-03-20 14:27:21.000,3,60011311,10000064,30004972,5,
